Zip,Cases Per 1000
10001,13
10002,10
10003,6.7
10004,8.6
10005,5.4
10006,4.6
10007,6.5
10009,9.7
10010,6.4
10011,8.5
10012,5.7
10013,6.8
10014,8
10016,11
10017,7.7
10018,18
10019,11
10021,10
10022,8.7
10023,7.4
10024,8.8
10025,11
10026,12
10027,11
10028,8.2
10029,17
10030,13
10031,15
10032,17
10033,16
10034,12
10035,20
10036,12
10037,15
10038,8.1
10039,14
10040,16
10044,12
10065,9.5
10069,9
10075,15
10128,8.9
10280,3.7
10282,11
10301,24
10302,28
10303,27
10304,27
10305,25
10306,23
10307,22
10308,19
10309,22
10310,25
10312,21
10314,24
10451,26
10452,22
10453,22
10454,22
10455,22
10456,19
10457,20
10458,18
10459,23
10460,21
10461,29
10462,23
10463,20
10464,25
10465,28
10466,26
10467,25
10468,24
10469,31
10470,24
10471,21
10472,21
10473,25
10474,21
10475,33
11004,30
11101,16
11102,15
11103,11
11104,14
11105,11
11106,13
11109,7.2
11201,7.8
11203,21
11204,20
11205,12
11206,13
11207,16
11208,17
11209,13
11210,20
11211,15
11212,17
11213,17
11214,12
11215,6.9
11216,9.6
11217,10
11218,17
11219,24
11220,12
11221,11
11222,9.4
11223,16
11224,17
11225,16
11226,16
11228,11
11229,15
11230,20
11231,8.9
11232,14
11233,12
11234,19
11235,19
11236,21
11237,13
11238,11
11239,29
11354,15
11355,12
11356,18
11357,16
11358,12
11360,13
11361,13
11362,13
11363,12
11364,10
11365,15
11366,23
11367,19
11368,29
11369,35
11370,34
11372,31
11373,26
11374,20
11375,17
11377,19
11378,16
11379,17
11385,15
11411,27
11412,27
11413,25
11414,23
11415,21
11416,19
11417,21
11418,21
11419,18
11420,22
11421,22
11422,24
11423,25
11426,20
11427,26
11428,29
11429,28
11432,21
11433,20
11434,24
11435,20
11436,21
11691,26
11692,22
11693,21
11694,26
11697,22
